dep,dep_lat,dep_lng,crash,crash_lat,crash_lng
"Gdansk-Rebiechowo Airport (GDN/EPGD), Poland",54.3788433,18.468075,Berlin-Tempelhof Airport (THF) (   Germany),52.4827106,13.388594
"Coolangatta Airport, QLD (OOL/YBCG), Australia",-28.1656448,153.509074,"Brisbane-Eagle Farm Airport, QLD (BNE) (   Australia)",-27.3942144,153.1218303
"Stockton Airport, CA (SCK/KSCK), United States of America",37.8965076,-121.248761,"Stockton Airport, CA (SCK) (   United States of America)",37.8965076,-121.248761
"Edwards AFB, CA (EDW/KEDW), United States of America",34.9236438,-117.93744,"Edwards AFB, CA (EDW) (   United States of America)",34.9236438,-117.93744
"Phoenix-Luke AFB, AZ (LUF/KLUF), United States of America",33.5414884,-112.3755018,"9 km (5.6 mls) SW of Phoenix-Luke AFB, AZ (LUF) (   United States of America)",33.5414884,-112.3755018
"Groton-New London Airport, CT (GON/KGON), United States of America",41.3301567,-72.0466658,"Scituate Reservoir, RI (   United States of America)",41.7607603,-71.5931657
"Wroclaw-Strachowice Airport (WRO/EPWR), Poland",51.1041654,16.8809331,Berlin-Tempelhof Airport (THF) (   Germany),52.4827106,13.388594
"Shemya AFB, AK (SYA/PASY), United States of America",52.7118135,174.125796,"5 km (3.1 mls) S of Attu Island-Casco Cove Airport, AK (ATU) (   United States of America)",52.8324084,173.1795606
"Baltimore/Washington Friendship International Airport, MD (BWI/KBWI), United States of America",39.1824893,-76.6693528,"1,5 km (0.9 mls) S of Richmond International Airport (Byrd Field), VA (RIC) (   United States of America)",37.5065795,-77.3208112
"Wroclaw-Strachowice Airport (WRO/EPWR), Poland",51.1041654,16.8809331,Berlin-Tempelhof Airport (THF) (   Germany),52.4827106,13.388594
"Dayton-Wright Patterson AFB, OH (FFO/KFFO), United States of America",39.8137298,-84.05374479999999,"Bedford-Hanscom Field, MA (BED) (   United States of America)",42.46810809999999,-71.2877395
"Lonkin, Myanmar",25.6324599,96.372467,near Lonkin (   Myanmar),25.6324599,96.372467
"Port-au-Prince-Mais Gate Airport (PAP/MTPP), Haiti",18.5759244,-72.2946381,"New York-John F. Kennedy International Airport, NY (JFK) (   United States of America)",40.6413111,-73.77813909999999
"Edwards AFB, CA (EDW/KEDW), United States of America",34.9236438,-117.93744,"Edwards AFB, CA (EDW) (   United States of America)",34.9236438,-117.93744
"Bombay-Sahar International Airport (BOM/VABB), India",19.0895595,72.8656144,Rajkot-Civil Airport (RAJ) (   India),22.3087913,70.7821706
"Malakal Airport (MAK/HSSM), South Sudan",9.558888999999999,31.652222,near Malakal (   South Sudan),9.5279875,31.6682347
"Saint Lucia-Hewanorra Airport (UVF/TLPL), Saint Lucia",13.733375,-60.950289,SW off Saint Vincent-Arnos Vale Airport (SVD) (   Saint Vincent and the Grenadines),13.1446932,-61.21097269999999
"San José-Juan Santamaria International Airport (SJO/MROC), Costa Rica",9.997981099999999,-84.2040202,San José-Juan Santamaria International Airport (SJO) (   Costa Rica),9.997981099999999,-84.2040202
"Zhigansk Airport (UEKK), Russia",66.788758,123.3643455,near Kystatyam (   Russia),67.316667,123.3333329
"Warszawa-Okecie Airport (WAW/EPWA), Poland",52.1672369,20.9678911,near Rzeszów (   Poland),50.0411867,21.9991196
"Bellingham Airport, WA (BLI/KBLI), United States of America",48.7955792,-122.5330642,"near Eastsound-Orcas Island Airport, WA (ESD) (   United States of America)",48.708361,-122.9106134
"Bombay-Sahar International Airport (BOM/VABB), India",19.0895595,72.8656144,"2,54 km (1.6 mls) NE of Ahmedabad Airport (AMD) (   India)",23.0734262,72.626571
"Goiânia-Santa Genoveva Airport, GO (GYN/SBGO), Brazil",-16.6323026,-49.2163451,"Ilha das Onças, PA (   Brazil)",-1.45,-48.55
"Palembang Airport (PLM/WIPP), Indonesia",-2.8966716,104.6992053,"Banten Bay, Java Sea (   Indonesia)",-6.4058172,106.0640179
"Contadora Airport (OTD), Panama",8.6274201,-79.0376672,"1,5 km (0.9 mls) off  Contadora Airport (OTD) (   Panama)",8.6274201,-79.0376672
"Elefsis AB (LGEL), Greece",38.0566017,23.5497706,24 km (15 mls) WSW of Volos-Néa Anchialos Airport (VOL) (   Greece),39.2225593,22.768186
"Trujillo Airport (TRU/SPRU), Peru",-8.0847503,-79.1074498,Lima International Airport (LIM) (   Peru),-12.0240527,-77.112036
"Hot Springs-Memorial Field, AR (HOT/KHOT), United States of America",34.5216915,-93.0423545,"ca 1 km SE of Hot Springs-Memorial Field, AR (HOT) (   United States of America)",34.5216915,-93.0423545
"Lukla Airport (LUA/VNLK), Nepal",27.6876117,86.73169500000002,Lukla Airport (LUA) (   Nepal),27.6876117,86.73169500000002
"Moorabbin Airport, VIC (MBW/YMMB), Australia",-37.9766546,145.0972832,"Devonport Airport, TAS (DPO) (   Australia)",-41.1718531,146.4275972
"Grand Island Airport, NE (GRI/KGRI), United States of America",40.9694381,-98.3129098,"6 km (3.8 mls) NE of Shelton, NE (   United States of America)",40.7791808,-98.7309078
"Athens-Ellinikon International Airport (ATH/LGAT), Greece",37.9356467,23.9484156,Roma-Fiumicino Airport (FCO) (   Italy),41.7998868,12.2462384
"Lyneham RAF Station (LYE/EGDL), United Kingdom",51.5055658,-1.9692996,Blair Athol (   United Kingdom),56.768184,-3.843385
"Sukhumi-Babusheri Airport (SUI/UGSS), Georgia",43.0015252,41.0234153,Sukhumi-Babusheri Airport (SUI) (   Georgia),42.858055,41.128334
"Seattle-Boeing Field International Airport, WA (BFI/KBFI), United States of America",47.5281657,-122.3018264,"Gouldsboro, PA (   United States of America)",41.2445293,-75.4560183
"Nassau International Airport (NAS/MYNN), Bahamas",25.0439288,-77.4655212,"3,5 km (2.2 mls) E of Nassau International Airport (NAS) (   Bahamas)",25.0439288,-77.4655212
"N'Djamena Airport (NDJ/FTTJ), Chad",12.1293763,15.033964,N'Djamena Airport (NDJ) (   Chad),12.1293763,15.033964
"Goiânia-Santa Genoveva Airport, GO (GYN/SBGO), Brazil",-16.6323026,-49.2163451,"Buriti Alegre Airfield, GO (   Brazil)",-18.138689,-49.0432566
"Santiago-Arturo Merino Benitez Airport (SCL/SCEL), Chile",-33.3897789,-70.7944223,"San Juan, SJ (   Argentina)",-31.5351074,-68.5385941
"Yakutsk Airport (YKS/UEEE), Russia",62.08646700000001,129.750195,Yakutsk Airport (YKS) (   Russia),62.08646700000001,129.750195
"Dubai Airport (DXB/OMDB), United Arab Emirates",25.2531745,55.3656728,Asmara International Airport (ASM) (   Eritrea),15.285,38.901667
"Luena Airport (LUO/FNUE), Angola",-11.7670369,19.8946083,Luena Airport (LUO) (   Angola),-11.7670369,19.8946083
"Stuart-Witham Field, FL (SUA/KSUA), United States of America",27.1820908,-80.2212023,"Daytona Beach, FL (   United States of America)",29.2108147,-81.0228331
"Sukhumi-Babusheri Airport (SUI/UGSS), Georgia",43.0015252,41.0234153,Sukhumi-Babusheri Airport (SUI) (   Georgia),42.858055,41.128334
"Ekimchan (UHBP), Russia",53.0748279,132.9367253,19 km (11.9 mls) NE of Ekimchan (   Russia),53.0748279,132.9367253
"Aspen Airport, CO (ASE/KASE), United States of America",39.2196304,-106.8643335,"Vail-Eagle County Airport, CO (EGE) (   United States of America)",39.6425637,-106.9145481
"Elefsis AB (LGEL), Greece",38.0566017,23.5497706,off Patroklos Island (   Greece),37.6478597,23.9506727
"San Diego International Airport, CA (SAN/KSAN), United States of America",32.7338006,-117.1933038,"San Diego International Airport, CA (SAN) (   United States of America)",32.7338006,-117.1933038
"San Diego International Airport, CA (SAN/KSAN), United States of America",32.7338006,-117.1933038,"San Diego International Airport, CA (SAN) (   United States of America)",32.7338006,-117.1933038
"San José-Juan Santamaria International Airport (SJO/MROC), Costa Rica",9.997981099999999,-84.2040202,San José-Juan Santamaria International Airport (SJO) (   Costa Rica),9.997981099999999,-84.2040202
"Athens-Ellinikon International Airport (ATH/LGAT), Greece",37.9356467,23.9484156,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Shreveport Regional Airport, LA (SHV/KSHV), United States of America",32.4544911,-93.8286552,"0,8 km (0.5 mls) N of Saltillo-Plan de Guadalupe International Airport (SLW) (   Mexico)",25.5489458,-100.9321948
"Santa Cruz-El Trompillo Airport (SRZ/SLET), Bolivia",-17.8011518,-63.1758288,8 km (5 mls) NW of Trinidad Airport (TDD) (   Bolivia),-14.822613,-64.91931
"Shenyang-Taoxian International Airport (SHE/ZYTX), China",41.6352665,123.496524,1 km (0.6 mls) NE of Shenyang-Taoxian International Airport (SHE) (   China),41.6352665,123.496524
"Bishkek-Manas International Airport (FRU/UCFM), Kyrgyzstan",43.05423940000001,74.4695079,S of Chaldovar (   Kyrgyzstan),42.8185388,73.541744
"Port-au-Prince-Mais Gate Airport (PAP/MTPP), Haiti",18.5759244,-72.2946381,Port-au-Prince-Mais Gate Airport (PAP) (   Haiti),18.5759244,-72.2946381
"Vieques Airport (VQS/TJCG), Puerto Rico",18.1352726,-65.4913286,"6,5 km (4.1 mls) W off  Cayo Luis Peña (   Puerto Rico)",18.3062674,-65.3317217
"Pikany Indian Airstrip, PA, Brazil",44.7610877,-115.1074293,"0,5 km (0.3 mls) W of Pikany Indian Airstrip, PA (   Brazil)",41.2033216,-77.1945247
"Kish Island Airport (KIH/OIBK), Iran",26.5319911,53.9716515,4 km (2.5 mls) E off  Kish Island Airport (KIH) (   Iran),26.5319911,53.9716515
"Bethel Airport, AK (BET/PABE), United States of America",60.77972200000001,-161.8377779,"ca 60 km SE of Bethel, AK (   United States of America)",60.7922222,-161.7558334
"Prototskiye Airstrip, Russia",45.5173116,38.0794682,"2 km (1.3 mls) E of Prototskiye, Krasnoarmeysky District, Krasnodar Krai (   Russia)",45.5173116,38.0794682
"Pereira Airport (PEI/SKPE), Colombia",4.8152099,-75.73631619999999,Bogotá-Eldorado Airport (BOG) (   Colombia),4.7014128,-74.1444969
"Rotterdam/The Hague Airport (RTM/EHRD), Netherlands",51.95550859999999,4.4398832,London City Airport (LCY) (   United Kingdom),51.5048437,0.049518
"Nassau International Airport (NAS/MYNN), Bahamas",25.0439288,-77.4655212,Deadman's Cay Airport (LGI) (   Bahamas),23.1780477,-75.0934833
"Port Heiden Airport, AK (PTH/PAPH), United States of America",56.958524,-158.6387986,"Chignik, AK (   United States of America)",56.2952778,-158.4022222
"Ekimchan (UHBP), Russia",53.0748279,132.9367253,"Ekimchan, Amur Region (   Russia)",53.0748279,132.9367253
"Berlin-Tempelhof Airport (THF/EDDI), Germany",52.4827106,13.388594,near Freilassing (   Germany),47.84199820000001,12.9728226
"San Diego International Airport, CA (SAN/KSAN), United States of America",32.7338006,-117.1933038,"San Diego International Airport, CA (SAN) (   United States of America)",32.7338006,-117.1933038
"Port-au-Prince-Mais Gate Airport (PAP/MTPP), Haiti",18.5759244,-72.2946381,"New York-John F. Kennedy International Airport, NY (JFK) (   United States of America)",40.6413111,-73.77813909999999
"Yakutsk Airport (YKS/UEEE), Russia",62.08646700000001,129.750195,Ust-Kuiga (   Russia),69.99674999999999,135.5713649
"Macau Airport (MFM/VMMC), Macau",22.1578359,113.5764123,2 km (1.3 mls) NNW of Baucau-Cakung Airport (BCH) (   East Timor),-8.4731006,126.4553727
"Toulouse-Francazal Air Base (BA 101) (LFBF), France",43.5386289,1.3689084,near Suc-et-Sentenac (   France),42.8058455,1.4531355
"Berlin-Tempelhof Airport (THF/EDDI), Germany",52.4827106,13.388594,Mannheim Airport (MHG) (   Germany),49.47642690000001,8.5207427
"Yakutsk Airport (YKS/UEEE), Russia",62.08646700000001,129.750195,Yakutsk Airport (YKS) (   Russia),62.08646700000001,129.750195
"Vail-Eagle County Airport, CO (EGE/KEGE), United States of America",39.6425637,-106.9145481,"Vail-Eagle County Airport, CO (EGE) (   United States of America)",39.6425637,-106.9145481
"Lokichoggio Airport (LKG/HKLK), Kenya",4.2033067,34.35462930000001,Yida Airstrip (   South Sudan),10.1169891,30.0839581
"Banda Aceh-Sultan Iskandarmuda Airport (BTJ/WITT), Indonesia",5.5188995,95.41851659999999,Medan-Kualanamu International Airport (KNO) (   Indonesia),3.6338254,98.87730169999999
"Dubai Airport (DXB/OMDB), United Arab Emirates",25.2531745,55.3656728,near Baghdad International Airport (BGW) (   Iraq),33.267015,44.2311592
"Volos-Néa Anchialos Airport (VOL/LGBL), Greece",39.2225593,22.768186,near Dervenochoria (   Greece),38.216667,23.5
"Sverdlovsk-Koltsovo Airport (SVX/USSS), Russia",56.7447746,60.8029485,"2,9 km (1.8 mls) E of Sverdlovsk-Koltsovo Airport (SVX) (   Russia)",56.7447746,60.8029485
"St. Louis Airport (XLS/GOSS), Senegal",16.049722,-16.460833,Atlantic Ocean (   Atlantic Ocean),-14.5994134,-28.6731465
"Santos Airport, SP (SSZ/SBST), Brazil",-23.9282025,-46.3026924,"Santos Airport, SP (SSZ) (   Brazil)",-23.9282025,-46.3026924
"Montgomery Municipal Airport, AL (GUN), United States of America",32.3050713,-86.3906353,"near Montgomery Municipal Airport, AL (GUN) (   United States of America)",32.3050713,-86.3906353
"Tezpur-Salonibari Airport (TEZ/VETZ), India",26.6987922,92.768732,"1,6 km (1 mls) from  Tezpur Airport (TEZ) (   India)",26.6987922,92.768732
"Berlin-Tempelhof Airport (THF/EDDI), Germany",52.4827106,13.388594,Berlin-Tempelhof Airport (THF) (   Germany),52.4827106,13.388594
"Hondo AAF, TX (HDO/KHDO), United States of America",29.35908229999999,-99.16788389999999,"6,5 km (4.1 mls) W of Keene, CA (   United States of America)",35.2235728,-118.5623117
"Rockhampton Airport, QLD (ROK/YBRK), Australia",-23.3796336,150.476056,"Bathurst Bay, QLD (   Australia)",-14.2361111,144.3677778
"Midland AAF, TX (MAF/KMAF), United States of America",31.9417386,-102.2047497,"6,5 km (4.1 mls) SE of Sweetwater, TX (   United States of America)",32.4709519,-100.4059384
"Asunción-Silvio Pettirossi International Airport (ASU/SGAS), Paraguay",-25.2415129,-57.51418139999999,"16 km (10 mls) SE of Carlos Pellegrini, CR (   Argentina)",-28.5360526,-57.1734556
"Moskva-Vnukovo Airport (VKO/UUWW), Russia",55.59964799999999,37.2712341,"0,8 km (0.5 mls) SE of Bakovka, Kuntsevo District, Moscow Region (   Russia)",55.6827723,37.3149155
"Le Havre Seaplane Base, France",49.49437,0.107929,off St. Marcouf (   France),49.472447,-1.289561
"Algiers-Maison Blanche Airport (ALG/DAAG), Algeria",36.6975267,3.2067834,"130 km (81.3 mls) S off  Marseille, France (   Mediterranean Sea)",43.296482,5.36978
"Moskva-Vnukovo Airport (VKO/UUWW), Russia",55.59964799999999,37.2712341,"Valuyevo, Moskovskaya Region (   Russia)",55.5711355,37.355338
"Mexico City International Airport (MEX/MMMX), Mexico",19.4360762,-99.07190829999999,near Saltillo (   Mexico),25.4383234,-100.973678
"Nassau International Airport (NAS/MYNN), Bahamas",25.0439288,-77.4655212,"S off Kingston, Jamaica (   Atlantic Ocean)",18.0178743,-76.8099041
"Sverdlovsk-Koltsovo Airport (SVX/USSS), Russia",56.7447746,60.8029485,between Sverdlovsk and Ekaterinburg (   Russia),56.83892609999999,60.6057025
"Edwards AFB, CA (EDW/KEDW), United States of America",34.9236438,-117.93744,"Edwards AFB, CA (EDW) (   United States of America)",34.9236438,-117.93744
"El Yopal Airport (EYP/SKYP), Colombia",5.320657,-72.38621599999999,"Barrancabermeja, Barranquilla (   Colombia)",7.0617085,-73.8519319
"Mexico City International Airport (MEX/MMMX), Mexico",19.4360762,-99.07190829999999,Acapulco-Alvarez International Airport (ACA) (   Mexico),16.762312,-99.755607
"San José-Juan Santamaria International Airport (SJO/MROC), Costa Rica",9.997981099999999,-84.2040202,"1,2 km (0.8 mls) E off  Isla San Lucas (   Costa Rica)",9.9386338,-84.90628989999999
"Santiago-Los Cerrillos Airport (ULC/SCTI), Chile",-33.4954605,-70.6940137,2 km (1.3 mls) SSE of Santiago-Los Cerrillos Airport (ULC) (   Chile),-33.4954605,-70.6940137
"Damascus International Airport (DAM/OSDI), Syria",33.4112976,36.5128312,near Adana Airport (ADA) (   Turkey),36.98585449999999,35.2881528
"Iquique-Cavancha Airport (IQQ/SCDA), Chile",-20.2319768,-70.1471435,Arica-Chacalluta Airport (ARI) (   Chile),-18.3484745,-70.33535979999999
"San Diego International Airport, CA (SAN/KSAN), United States of America",32.7338006,-117.1933038,"Phoenix-Sky Harbor International Airport, AZ (PHX) (   United States of America)",33.4372686,-112.0077881
"Rennes-St Jacques Airport (RNS/LFRN), France",48.06978429999999,-1.734365,nr Héric (   France),47.414794,-1.652556
"Manchester International Airport (MAN/EGCC), United Kingdom",53.3588026,-2.2727303,London-Stansted (STN) (   United Kingdom),51.8860181,0.2388661
"Dubai Airport (DXB/OMDB), United Arab Emirates",25.2531745,55.3656728,"Dubai, Tripoli, Tunis (   Tunisia)",25.2048493,55.2707828
"Chicago-Executive Airport, IL (PWK/KPWK), United States of America",42.1170686,-87.9011312,"Waukegan Memorial Airport, IL (UGN) (   United States of America)",42.416305,-87.868192
"Port-au-Prince-Mais Gate Airport (PAP/MTPP), Haiti",18.5759244,-72.2946381,Port-au-Prince-Mais Gate Airport (PAP) (   Haiti),18.5759244,-72.2946381
"Conroe-Montgomery County Airport, TX (CXO/KCXO), United States of America",30.34969449999999,-95.4139893,"Cut and Shoot, TX (   United States of America)",30.3332654,-95.35799399999999
"Vorkuta Airport (VKT/UUYW), Russia",67.49036509999999,64.0045452,Nagurskoye Air Base (   Russia),80.8107139,47.6499479
"Athens Airport, GA (AHN/KAHN), United States of America",33.9519038,-83.32512969999999,"0,3 km (0.2 mls) NW of Dalton Municipal Airport, GA (DNN) (   United States of America)",34.7219315,-84.86915909999999
"Yakutsk-Magan Airport (GYG/UEMM), Russia",62.10842169999999,129.5365406,near Magan (   Russia),62.107429,129.517113
"Rawlins Airport, WY (RWL/KRWL), United States of America",41.8055949,-107.1999359,"Rawlins Airport, WY (RWL) (   United States of America)",41.8055949,-107.1999359
"Athens-Ellinikon International Airport (ATH/LGAT), Greece",37.9356467,23.9484156,1 km (0.6 mls) off  Rhodes/Paradisi-Diagoras Airport (RHO) (   Greece),36.4047577,28.0867646
"Nice-le Var Airport (NCE/LFMN), France",43.6597689,7.214821400000001,ca 1 km N of Nice-le Var Airport (NCE) (   France),43.6597689,7.214821400000001
"Tacoma-McChord AFB, WA (TCM/KTCM), United States of America",47.13344739999999,-122.485855,"near Anchorage, AK (   United States of America)",61.2180556,-149.9002778
"West Palm Beach-Morrison Field, FL (PBI/KPBI), United States of America",26.6924856,-80.10701069999999,"18 km (11.3 mls) WSW of Vero Beach, FL (   United States of America)",27.6386434,-80.39727359999999
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Haiphong-Cat Bi Air Base (HPH/VVCI), Vietnam",20.8213833,106.7262401,Haiphong-Cat Bi Air Base (HPH) (   Vietnam),20.8213833,106.7262401
"Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America",36.0839998,-115.1537389,"Las Vegas-McCarran International Airport, NV (LAS) (   United States of America)",36.0839998,-115.1537389
"Indianapolis-Weir Cook Municipal Airport, IN (IND/KIND), United States of America",39.7168593,-86.2955952,"Louisville-Standiford Field, KY (SDF) (   United States of America)",38.175662,-85.7369231
"Vientiane-Wattay Airport (VTE/VLVT), Laos",17.9869192,102.5634402,Sam Neua Airport (NEU) (   Laos),20.4170831,104.04787
"Southampton water, United Kingdom",50.8450369,-1.3280892,Chessel Down (   United Kingdom),50.6708399,-1.4390741
"Vientiane-Wattay Airport (VTE/VLVT), Laos",17.9869192,102.5634402,Sam Neua Airport (NEU) (   Laos),20.4170831,104.04787
"Shannon Airport (SNN/EINN), Ireland",52.6996573,-8.914691099999999,"180 km (112.5 mls) W off  Shannon, Ireland (   Atlantic Ocean)",52.7124708,-8.8730677
"Tucson-Davis Monthan AFB, AZ (DMA/KDMA), United States of America",32.1675525,-110.8592578,"near Windsor Locks-Bradley Field, CT (BDL) (   United States of America)",41.9388735,-72.68603139999999
"Medellín-Enrique Olaya Herrera Airport (EOH/SKMD), Colombia",6.2192058,-75.5877975,Bogotá-Eldorado Airport (BOG) (   Colombia),4.7014128,-74.1444969
"San Antonio del Tachira Airport (SVZ/SVSA), Venezuela",7.839995999999999,-72.43968199999999,Páramo Turmal (   Venezuela),8.765833299999999,-71.11
"Porlamar-del Caribe Santiago Mariño International Airport (PMV/SVMG), Venezuela",10.9178861,-63.9691459,near Porlamar (   Venezuela),10.9570221,-63.8699655
"Gander Airport, NL (YQX/CYQX), Canada",48.946558,-54.5756957,"800 km (500 mls) W off  Shannon, Ireland (   Atlantic Ocean)",52.7124708,-8.8730677
"Iasi Airport (IAS/LRIA), Romania",47.17714489999999,27.6173117,Paragina Hill (   Romania),43.857029,25.037979
"Kuala Lumpur International Airport (KUL/WMKK), Malaysia",2.7455962,101.7071602,Singapore-Paya Lebar Airport (QPG) (   Singapore),1.3581563,103.9112546
"Gander Airport, NL (YQX/CYQX), Canada",48.946558,-54.5756957,"10,5 km (6.6 mls) NE off  Waterville, NL (   Canada)",48.199544,-53.786157
"Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America",36.0839998,-115.1537389,"Las Vegas-McCarran International Airport, NV (LAS) (   United States of America)",36.0839998,-115.1537389
"Fort Richardson-Bryant AAF, AK (FRN/PAFR), United States of America",61.26250770000001,-149.6547035,"21 km (13.1 mls) NE of Anchorage, AK (   United States of America)",61.2180556,-149.9002778
"Townsville Airport, QLD (TSV/YBTL), Australia",-19.2564798,146.770808,"Brisbane-Eagle Farm Airport, QLD (BNE) (   Australia)",-27.3942144,153.1218303
"Punta Abreojos Airport (AJS), Mexico",26.7274139,-113.5599046,off Baja California (   Mexico),30.8406338,-115.2837585
"Baku-Bina International Airport (BAK/UBBB), Azerbaijan",40.4650578,50.0523162,4 km (2.5 mls) S of Krasnovodsk Airport (KRW) (   Turkmenistan),40.05,53.00000009999999
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Curaçao-Hato International Airport (CUR/TNCC), Curaçao",12.188463,-68.960945,between Curaçao and Port-au-Prince [Caribbean Sea] (   Atlantic Ocean),18.594395,-72.3074326
"Leavesden Airport (EGTI), United Kingdom",51.6904732,-0.4127882,"Sturgate, Lincolnshire  (EGCS) (   United Kingdom)",53.3805556,-0.6886110999999999
"Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America",36.0839998,-115.1537389,"Las Vegas-McCarran International Airport, NV (LAS) (   United States of America)",36.0839998,-115.1537389
"Petrozavodsk Airport (PES/ULPB), Russia",61.87782309999999,34.1561766,Helsinki (   Finland),60.16985569999999,24.9383791
"Point Hope Airport, AK (PHO/PAPO), United States of America",68.348878,-166.798718,within Alaska (   United States of America),64.2008413,-149.4936733
"Mombasa-Moi International Airport (MBA/HKMO), Kenya",-4.0355,39.597301,Nairobi-Jomo Kenyatta International Airport (NBO) (   Kenya),-1.3227102,36.9260693
"Oulu Airport (OUL/EFOU), Finland",64.9308748,25.3558378,Oulu Airport (OUL) (   Finland),64.9308748,25.3558378
"Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America",36.0839998,-115.1537389,"Las Vegas-McCarran International Airport, NV (LAS) (   United States of America)",36.0839998,-115.1537389
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Filton Airport (FZO/EGTG), United Kingdom",51.507864,-2.576467,Downend (   United Kingdom),51.489743,-2.500743
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,Beirut International Airport (BEY) (   Lebanon),33.8193756,35.4912043
"Athol-Silverwood Airport, ID, United States of America",47.9073114,-116.7025155,"0,8 km (0.5 mls) from  Athol-Silverwood Airport, ID (   United States of America)",47.9073114,-116.7025155
"Beirut International Airport (BEY/OLBA), Lebanon",33.8193756,35.4912043,"Kuwait, Manama, Bahrain, Kuwait, Abadan, Kuwait (   Kuwait)",26.2285161,50.5860497
