"dep","dep_lat","dep_lng","dest","dest_lat","dest_lng","crash","crash_lat","crash_lng"
"Cagayan de Oro-Lumbia Airport (CGY/RPML), Philippines","8.43178","124.61652","Mactan Island-Chicago Naval Air Base (NOP/RPVM), Philippines","12.10083","123.73836",Benghazi (   Libya),"32.11439","20.10736"
"Miami International Airport, FL (MIA/KMIA), United States of America","25.81247",-80.24239,"Indianapolis International Airport, IN (IND/KIND), United States of America","39.8259",-86.29186,"Atlanta, GA (   United States of America)","33.74832",-84.39111
"Miami International Airport, FL (MIA/KMIA), United States of America","25.81247",-80.24239,"Managua-Las Mercedes Airport (MGA/MNMG), Nicaragua","12.1172",-86.24079,San José-Juan Santamaria International Airport (SJO) (   Costa Rica),"9.65268",-83.96555
"Toronto International Airport, ON (YYZ/CYYZ), Canada","43.67763",-79.58831,"White Plains-Westchester County Airport, NY (HPN/KHPN), United States of America","41.03466",-73.74772,"Westchester County Airport, NY (HPN) (   United States of America)","40.84744",-73.85576
"Key West Harbor, FL, United States of America","24.56121",-81.80308,"Key West International Airport, FL (EYW/KEYW), United States of America","24.55766",-81.76566,"Key West Harbor, FL (   United States of America)","24.56121",-81.80308
"São José dos Campos Airport, SP (SJK/SBSJ), Brazil",-23.19604,-45.89903,"Brasília International Airport, DF (BSB/SBBR), Brazil",-15.77843,-47.92866,"near Mantiqueira, SP (   Brazil)",-23.13703,-45.91176
"Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal","27.6893","85.22426","Lukla Airport (LUA/VNLK), Nepal","27.6886","86.73134",Lukla Airport (LUA) (   Nepal),"27.6886","86.73134"
"Lisboa-Portela de Sacavém Airport (LIS/LPPT), Portugal","38.73848",-9.20466,"Braganca Airport (BGC/LPBG), Portugal","41.80726",-6.7582,near Bragança (   Portugal),"41.80726",-6.7582
"Kabul-Khwaja Rawash Airport (KBL/OAKB), Afghanistan","34.53314","69.10224","Mazar-I-Sharif Airport (MZR/OAMS), Afghanistan","36.70745","67.10886",London-Stansted Airport (STN) (   United Kingdom),"51.88427","0.25718"
"Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal","27.6893","85.22426","Lukla Airport (LUA/VNLK), Nepal","27.6886","86.73134",Lukla Airport (LUA) (   Nepal),"27.6886","86.73134"
"Mexico City-Benito Juárez International Airport (MEX/MMMX), Mexico","19.35612",-99.01706,"Monterrey-General Mariano Escobedo International Airport (MTY/MMMY), Mexico","25.68603",-100.30957,near Monterrey-General Mariano Escobedo International Airport (MTY) (   Mexico),"25.68603",-100.30957
"Uberaba Airport, MG (UBA/SBUR), Brazil",-21.10561,-42.95999,"Brasília International Airport, DF (BSB/SBBR), Brazil",-15.77843,-47.92866,"8 km (5 mls) from  Brasília International Airport, DF (BSB) (   Brazil)",-15.77843,-47.92866
"Rovaniemi Airport (RVN/EFRO), Finland","66.50393","25.72906","Oulu Airport (OUL/EFOU), Finland","65.01035","25.47357",Oulu Airport (OUL) (   Finland),"65.01035","25.47357"
"Antalya Airport (AYT/LTAI), Turkey","36.87896","30.70924","Kiev-Igor Sikorsky International Airport (IEV/UKKK), Ukraine","47.86484","31.02088",Kiev-Igor Sikorsky International Airport (IEV) (   Ukraine),"47.86484","31.02088"
"Mexico City-Benito Juárez International Airport (MEX/MMMX), Mexico","19.35612",-99.01706,"Monterrey-General Mariano Escobedo International Airport (MTY/MMMY), Mexico","25.68603",-100.30957,near Mexico City (   Mexico),"19.43195",-99.13315
"Surabaya Airport (SUB/WARR), Indonesia",-4.01197,"104.4362","Kupang-El Tari Airport (KOE/WATT), Indonesia",-10.15716,"123.65957","16 km (10 mls) from  Kupang (   Indonesia)",-10.15716,"123.65957"
"Tokyo-Yokota AFB (OKO/RJTY), Japan","34.60259","131.79485","Tacoma-McChord AFB, WA (TCM/KTCM), United States of America","47.17003",-122.48369,"60 km (37.5 mls) W of Seattle, WA (   United States of America)","47.60358",-122.32945
"Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL), United States of America","33.6416",-84.44581,"Greenville Downtown Airport, SC (GMU/KGMU), United States of America","34.84131",-82.35074,"Greenville Downtown Airport, SC (GMU) (   United States of America)","34.84131",-82.35074
"Unalakleet Airport, AK (UNK/PAUN), United States of America","63.87894",-160.79682,"Anchorage International Airport, AK (ANC/PANC), United States of America","61.17391",-149.94619,"8 km (5 mls) NW of Anchorage, AK (   United States of America)","61.21753",-149.85826
"San Francisco International Airport, CA (SFO/KSFO), United States of America","37.77713",-122.41964,"Honolulu International Airport, HI (HNL/PHNL), United States of America","21.67043",-158.03287,"1500 km (937.5 mls) E of Honolulu, HI (   Pacific Ocean)","21.31449",-157.87139
"San Francisco International Airport, CA (SFO/KSFO), United States of America","37.77713",-122.41964,"Honolulu International Airport, HI (HNL/PHNL), United States of America","21.67043",-158.03287,"near San Francisco, CA (   United States of America)","37.77713",-122.41964
"Bombay-Santacruz Airport (BOM/VABB), India","19.08052","72.85178","Dubai Airport (DXB/OMDB), United Arab Emirates","25.2356","55.38086","3 km (1.9 mls) W off  Bombay-Santacruz Airport (BOM) (   India)","19.08052","72.85178"
"Oostende Airport (OST/EBOS), Belgium","51.23123","2.91266","Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria","6.57238","3.33378","10 km (6.3 mls) N of Lagos-Murtala Muhammed International Airport (LOS) (   Nigeria)","6.57238","3.33378"
"Chicago-Merrill C Meigs Field, IL (CGX/KCGX), United States of America","41.75801",-87.57244,"South Bend Regional, IN (SBN/KSBN), United States of America","41.67907",-86.25406,"Chicago-Merrill C Meigs Field, IL (CGX) (   United States of America)","41.75801",-87.57244
"Îles de la Madeleine Airport, QC (YGR/CYGR), Canada","47.27615",-61.71412,"Gaspé Airport, QC (YGP/CYGP), Canada","48.83235",-64.47993,"Gaspé Airport, QC (YGP) (   Canada)","48.83235",-64.47993
"Pickle Lake Airport, ON (YPL/CYPL), Canada","51.48351",-90.15916,"Big Trout Airport, ON (YTL/CYTL), Canada","53.82423",-89.87985,"1,3 km (0.8 mls) from  Pickle Lake Airport, ON (YPL) (   Canada)","51.48351",-90.15916
"Roma-Ciampino Airport (CIA/LIRA), Italy","41.80981","12.58391","Athens-Ellinikon International Airport (ATH/LGAT), Greece","38.00719","23.75357",near Pilos (   Greece),"36.90839","21.69702"
"Quito-Mariscal Sucre Airport (UIO/SEQU), Ecuador",-2.07675,-79.51381,"Manta Airport (MEC/SEMT), Ecuador",-0.98109,-80.6967,Tumaco-La Florida Airport (TCO) (   Colombia),"1.29898",-77.40591
"San Francisco International Airport, CA (SFO/KSFO), United States of America","37.77713",-122.41964,"Hilo International Airport, HI (ITO/PHTO), United States of America","19.71924",-155.08186,"350 km (218.8 mls) off  Hawaii, USA (   Pacific Ocean)","43.52285",-89.40344
"Anchorage-Elmendorf AFB, AK (EDF/PAED), United States of America","61.23724",-149.84214,"Tacoma-McChord AFB, WA (TCM/KTCM), United States of America","47.17003",-122.48369,"1,6 km (1 mls) ESE off  Sandspit Airport, BC (YZP) (   Canada)","53.25317",-131.81857
"Taipei-Songshan Airport (TSA/RCSS), Taiwan","25.05004","121.5773","Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","13.91813","100.58991","10 km (6.3 mls) NE of Taipei-Songshan Airport (TSA) (   Taiwan)","25.05004","121.5773"
"København-Kastrup Airport (CPH/EKCH), Denmark","55.67567","12.56756","Warszawa-Okecie Airport (WAW/EPWA), Poland","52.18262","20.94949",Wien-Schwechat International Airport (VIE) (   Austria),"48.13987","16.47717"
"Kinston-Stallings Field, NC (ISO/KISO), United States of America","35.29648",-77.59596,"Wilmington-New Hanover County Airport, NC (ILM/KILM), United States of America","34.23497",-77.946,"Kinston, New Bern (   United States of America)","35.25514",-77.60284
"Tokyo-Narita Airport (NRT/RJAA), Japan","35.68409","139.80885","Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","13.91813","100.58991",Tokyo-Narita Airport (NRT) (   Japan),"35.68409","139.80885"
"Kinston-Stallings Field, NC (ISO/KISO), United States of America","35.29648",-77.59596,"Charlotte-Douglas Airport, NC (CLT/KCLT), United States of America","35.18001",-80.94769,"Kinston-Stallings Field, NC (ISO) (   United States of America)","35.29648",-77.59596
"Saint Louis-Lambert International Airport, MO (STL/KSTL), United States of America","38.74361",-90.37134,"Branson/Point Lookout-M Graham Clark Airport, MO (PLK/KPLK), United States of America","36.62475",-93.23497,"5,6 km (3.5 mls) W of Branson/Point Lookout-M Graham Clark Airport, MO (PLK) (   United States of America)","36.62475",-93.23497
"Memphis International Airport, TN (MEM/KMEM), United States of America","35.10219",-89.84837,"Cincinnati/Northern Kentucky Airport, KY (CVG/KCVG), United States of America","37.50867",-82.81404,"1 km (0.6 mls) S of Cincinnati/Northern Kentucky Airport, KY (CVG) (   United States of America)","37.50867",-82.81404
"Kalaupapa Airport, HI (LUP/PHLU), United States of America","21.1891",-156.98306,"Honolulu International Airport, HI (HNL/PHNL), United States of America","21.67043",-158.03287,"ca 800 m N off Kalaupapa Airport, HI (LUP) (   United States of America)","21.1891",-156.98306
"Québec City Jean Lesage International Airport, QC (YQB/CYQB), Canada","46.81656",-71.21546,"Chibougamau/Chapais Airport, QC (YMT/CYMT), Canada","49.91363",-74.36881,"Chibougamau/Chapais Airport, QC (YMT) (   Canada)","49.91363",-74.36881
"Big Spring-Webb AFB, TX (BGS/KBPG), United States of America","32.30087",-101.51093,"San Diego-North Island NAS, CA (NZY/KNZY), United States of America","32.71048",-117.16194,"43 km (26.9 mls) E of San Diego-North Island NAS, CA (NZY) (   United States of America)","32.71044",-117.15875
"Rio de Janeiro-Galeão International Airport, RJ (GIG/SBGL), Brazil",-22.81726,-43.22773,"Porto Alegre-Gravatai Air Base, RS (SBCO), Brazil",-30.04449,-51.22432,"15 km (9.4 mls) NNE of Porto Alegre-Gravatai Air Base, RS (   Brazil)",-30.04449,-51.22432
"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY), Australia",-33.93349,"151.23596","Honolulu International Airport, HI (HNL/PHNL), United States of America","21.67043",-158.03287,"Sydney-Kingsford Smith International Airport, NSW (SYD) (   Australia)",-33.93349,"151.23596"
"Port Harcourt Airport (PHC/DNPO), Nigeria","4.81394","7.0437","Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria","6.57238","3.33378",Lagos-Murtala Muhammed Airport (LOS) (   Nigeria),"6.45138","3.42218"
"Livingstone Airport (LVI/FLLI), Zambia",-17.84316,"25.86065","Johannesburg-Palmietfontein Airport, South Africa",-30.41932,"27.54125",Carolina Aerodrome (   South Africa),-26.06597,"30.11484"
"Los Angeles International Airport, CA (LAX/KLAX), United States of America","33.95973",-118.38554,"Honolulu International Airport, HI (HNL/PHNL), United States of America","21.67043",-158.03287,"Los Angeles International Airport, CA (LAX) (   United States of America)","34.19571",-118.34923
"Sukhumi-Babusheri Airport (SUI/UGSS), Georgia","43.00709","41.00918","Kutaisi Airport (KUT/UGKO), Georgia","42.25772","42.66943",Sukhumi-Babusheri Airport (SUI) (   Georgia),"43.00709","41.00918"
"Accra-Kotoka Airport (ACC/DGAA), Ghana","5.57889",-0.23261,"Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria","6.57238","3.33378",Lagos-Murtala Muhammed Airport (LOS) (   Nigeria),"6.45138","3.42218"
"Kota Kinabalu Airport (BKI/WBKK), Malaysia","5.98139","116.07423","Kudat Airport (KUD/WBKT), Malaysia","6.92288","116.8383",Kudat Airport (KUD) (   Malaysia),"6.92288","116.8383"
"Innamincka Airport, SA (INM/YINN), Australia",-27.74567,"140.74216","Moomba Airport, SA (MOO/YOOM), Australia",-28.1038,"140.20047","Moomba Airport, SA (MOO) (   Australia)",-28.1038,"140.20047"
"Teslin Airport, YT (YZW/CYZW), Canada","60.16862",-132.71197,"Dease Lake Airport, BC (YDL/CYDL), Canada","58.43875",-129.98918,"Teslin Lake, BC (   Canada)","60.2313",-132.90783
"Le Havre Seaplane Base, France","49.49359","0.10097","Biscarrosse-Hourtiquets Seaplane Base, France","44.39501",-1.16404,off St. Marcouf (   France),"49.47297",-1.28987
"Union Island Airport (UNI/TVSU), Saint Vincent and the Grenadines","13.01174",-61.23569,"Bridgetown-Grantley Adams International Airport (BGI/TBPB), Barbados","13.11201",-59.61269,"30 km (18.8 mls) SW off  Bridgetown, Barbados (   Atlantic Ocean)","13.11201",-59.61269
"Los Angeles International Airport, CA (LAX/KLAX), United States of America","33.95973",-118.38554,"Kansas City International Airport, MO (MCI/KMCI), United States of America","39.29788",-94.71359,"Kansas City International Airport, MO (MCI) (   United States of America)","39.29788",-94.71359
"Krasnodar Airport (KRR/URKK), Russia","45.03574","38.97651","Tbilisi Airport (TBS/UGGG), Georgia","41.70907","44.79611","15 km (9.4 mls) NE of Zugdidi (   Georgia)","42.50932","41.86576"
"Kodiak Airport, AK (ADQ/PADQ), United States of America","57.75554",-152.51481,"King Cove Airport, AK (KVC/PAVC), United States of America","55.09289",-162.29549,"near King Cove Airport, AK (KVC) (   United States of America)","55.09289",-162.29549
"Poti Airport (UGSP), Georgia","42.15151","41.66962","Sukhumi Airport (SUI/UGSS), Georgia","43.00709","41.00918",Poti Airport (   Georgia),"42.15151","41.66962"
"Neryungri Airport (NER/UELL), Russia","56.67174","124.66304","Yakutsk Airport (YKS/UEEE), Russia","61.97651","129.66757",Karachi International Airport (KHI) (   Pakistan),"24.89612","66.99931"
"Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong","22.31442","114.21013","Dubai Airport (DXB/OMDB), United Arab Emirates","25.2356","55.38086",Hong Kong-Kai Tak International Airport (HKG) (   Hong Kong),"22.31442","114.21013"
"Douala Airport (DLA/FKKD), Cameroon","4.04775","9.69495","Nairobi-Jomo Kenyatta International Airport (NBO/HKJK), Kenya",-1.33092,"36.92518","5,5 km (3.4 mls) SE of Douala Airport (DLA) (   Cameroon)","4.04775","9.69495"
"Tarapoto Airport (TPP/SPST), Peru",-6.48318,-76.36837,"Bellavista Airport (BLP/SPBL), Peru",-12.05975,-77.11123,Bellavista Airport (BLP) (   Peru),-12.05975,-77.11123
"Frankfurt-Hahn Airport (HHN/EDFH), Germany","50.11208","8.68342","London-Stansted Airport (STN/EGSS), United Kingdom","51.88427","0.25718",London-Stansted Airport (STN) (   United Kingdom),"51.88427","0.25718"
"Ostrava-Leo Janácek Airport (OSR/LKMT), Czech Republic","49.83937","18.28878","London-Stansted Airport (STN/EGSS), United Kingdom","51.88427","0.25718",London-Stansted Airport (STN) (   United Kingdom),"51.88427","0.25718"
"Sumter-Shaw AFB, SC (SSC/KSSC), United States of America","33.99313",-80.49332,"Hampton-Langley AFB, VA (LFI/KLFI), United States of America","37.09463",-76.38517,"Weldon, NC (   United States of America)","36.42678",-77.59766
"Katowice-Pyrzowice Airport (KTW/EPKT), Poland","50.25641","19.03105","Warszawa-Okecie Airport (WAW/EPWA), Poland","52.18262","20.94949",Katowice (   Poland),"50.25641","19.03105"
"Olyokminsk Airport, Russia","60.3737","120.40008","Yakutsk Airport (YKS/UEEE), Russia","61.97651","129.66757","86 km (53.8 mls) from  Yakutsk (   Russia)","61.97651","129.66757"
"Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands","52.3067","4.75325","Anchorage International Airport, AK (ANC/PANC), United States of America","61.17391",-149.94619,"near Anchorage, AK (   United States of America)","61.21753",-149.85826
"Zanzibar-Kisauni Airport (ZNZ/HTZA), Tanzania",-6.17683,"39.22396","Nairobi-Jomo Kenyatta International Airport (NBO/HKJK), Kenya",-1.33092,"36.92518",Nairobi-Jomo Kenyatta International Airport (NBO) (   Kenya),-1.33092,"36.92518"
"Oslo-Gardermoen Airport (OSL/ENGM), Norway","60.16052","11.11624","Istanbul-Atatürk International Airport (IST/LTBA), Turkey","40.99181","29.13028",Istanbul Atatürk Airport (IST) (   Turkey),"40.99181","29.13028"
"San Borja Airport (SRJ/SLSB), Bolivia",-14.85837,-66.74392,"Rurrenabaque Airport (RBQ/SLRQ), Bolivia",-14.43993,-67.52536,La Paz-El Alto Airport (LPB) (   Bolivia),-16.50596,-68.22783
"Kahului Airport, HI (OGG/PHOG), United States of America","20.89102",-156.46727,"Waimea-Kohala Airport, HI (MUE/PHMU), United States of America","22.03342",-159.76742,"Piilani Highway, Kihei, Maui (   United States of America)","20.74448",-156.44547
"Sharjah Airport (SHJ/OMSJ), United Arab Emirates","25.35287","55.39203","Istanbul-Atatürk International Airport (IST/LTBA), Turkey","40.99181","29.13028",near Shahr-e Kurd (   Iran),"32.3241","50.86031"
"St. Petersburg-Clearwater International Airport, FL (PIE/KPIE), United States of America","27.8592",-82.65382,"Greenville Downtown Airport, SC (GMU/KGMU), United States of America","34.84131",-82.35074,"Greenville Downtown Airport, SC (GMU) (   United States of America)","34.84131",-82.35074
"London-Heathrow Airport (LHR/EGLL), United Kingdom","51.47247",-0.45288,"Nairobi-Jomo Kenyatta International Airport (NBO/HKJK), Kenya",-1.33092,"36.92518",Nairobi-Jomo Kenyatta International Airport (NBO) (   Kenya),-1.33092,"36.92518"
"Newbury-Greenham Common RAF Station (EWY/EGVI), United Kingdom","51.40593",-1.32611,"Saint-Dizier Advanced Landing Ground A-64 (LFSI), France","48.63656","4.94698","24 km (15 mls) SE of Saint-Valery-en-Caux (   France)","49.869","0.71193"
"Sedalia Army Air Field, MO (SZL/KSZL), United States of America","38.71078",-93.22806,"San Antonio-Brooks Field, TX, United States of America","29.43716",-98.47176,"40 km (25 mls) SSE of Claude, TX (   United States of America)","35.10967",-101.35939
"Voronezh Airport (VOZ/UUOO), Russia","51.66782","39.20696","Moskva-Vnukovo Airport (VKO/UUWW), Russia","55.64577","37.27393","near Yamshchina, Moskovskaya Region (   Russia)","55.65126","37.01752"
"Monterey-Fort Ord AFB, CA, United States of America","36.59846",-121.90014,"Tacoma-McChord AFB, WA (TCM/KTCM), United States of America","47.17003",-122.48369,"19 km (11.9 mls) SE of Vail, WA (   United States of America)","46.88383",-122.67588
"Calcutta-Dum Dum Airport (CCU/VECC), India","22.6469","88.43932","Guwahati-Borjhar Airport (GAU/VEGT), India","26.1863","91.75053",Guwahati (   India),"26.17724","91.7542"
"Brussel-Zaventem Airport (BRU/EBBR), Belgium","50.86489","4.4202","Lagos/Ikeja International Airport (LOS/DNMM), Nigeria","6.58024","3.32514","14 km (8.8 mls) N of Lagos-Murtala Muhammed Airport (LOS) (   Nigeria)","6.45138","3.42218"
"Picota Airport (SPAP), Peru",-6.8958,-76.33781,"Trujillo Airport (TRU/SPRU), Peru",-8.1032,-79.01809,near Chimbote (   Peru),-9.07371,-78.57712
"Kabul Airport (KBL/OAKB), Afghanistan","34.53314","69.10224","Jalalabad Airport (JAA/OAJL), Afghanistan","34.43738","70.45955","24 km (15 mls) from  Kabul Airport (KBL) (   Afghanistan)","34.53314","69.10224"
"Brussel-Zaventem Airport (BRU/EBBR), Belgium","50.86489","4.4202","Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria","6.57238","3.33378",Lagos-Murtala Muhammed Airport (LOS) (   Nigeria),"6.45138","3.42218"
"Omaha-Eppley Airfield, NE (OMA/KOMA), United States of America","41.26068",-95.94026,"Kearney Regional Airport, NE (EAR/KEAR), United States of America","40.72157",-99.01546,"Kearney Regional Airport, NE (EAR) (   United States of America)","40.72157",-99.01546
"São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil",-20.50904,-43.85437,"Bauru Airport, SP (BAU/SBBU), Brazil",-22.33068,-49.06973,"Bauru Airport, SP (BAU) (   Brazil)",-22.33068,-49.06973
"Riyadh-King Khalid International Airport (RUH/OERK), Saudi Arabia","24.12807","47.28018","London-Stansted Airport (STN/EGSS), United Kingdom","51.88427","0.25718",London-Stansted Airport (STN) (   United Kingdom),"51.88427","0.25718"
"Praha-Ruzyne International Airport (PRG/LKPR), Czech Republic","50.08245","14.31048","Karlstad Airport (KSD/ESOK), Sweden","59.38051","13.49938","4,5 km (2.8 mls) SW of Reinhardtsdorf-Schöna (   Germany)","50.88946","14.19677"
"Sevilla Airport (SVQ/LEZL), Spain","37.38788",-6.00197,"Melilla Airport (MLN/GEML), Spain","35.29187",-2.9385,near Olías (   Spain),"39.94362",-3.98886
"São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil",-20.50904,-43.85437,"Bauru Airport, SP (BAU/SBBU), Brazil",-22.33068,-49.06973,"1,5 km (0.9 mls) NW of São Paulo-Congonhas Airport, SP (CGH) (   Brazil)",-20.50904,-43.85437
"Tacloban Airport (TAC/RPVA), Philippines","11.26939","124.96448","Angeles City-Clark Field (CRK/RPMK), Philippines","15.16541","120.60845",W off Batan Island (   Philippines),"11.58558","122.49809"
"Grahamstown (FAGT), South Africa",-33.30677,"26.52487","Queenstown Airport (UTW/FAQT), South Africa",-31.89493,"26.86841","11 km (6.9 mls) N of Seymour (   South Africa)",-32.55854,"26.75474"
"Bridgetown-Grantley Adams International Airport (BGI/TBPB), Barbados","13.11201",-59.61269,"Kingston-Norman Manley International Airport (KIN/MKJP), Jamaica","17.97094",-76.78827,"8 km (5 mls) W off  Bridgetown International Airport (BGI) (   Barbados)","13.11201",-59.61269
"Oulu Airport (OUL/EFOU), Finland","65.01035","25.47357","Helsinki-Vantaa Airport (HEL/EFHK), Finland","60.17116","24.93266",Oulu Airport (OUL) (   Finland),"65.01035","25.47357"
"Townsville Airport, QLD (TSV/YBTL), Australia",-19.25712,"146.82139","Prosperine Airport, QLD (PPP/YBPN), Australia",-20.40611,"148.59346","4 km (2.5 mls) NW of Prosperine Airport, QLD (PPP) (   Australia)",-20.40611,"148.59346"
"Neiva Airport (NVA/SKNV), Colombia","2.92786",-75.27897,"San Vicente del Caguán-Eduardo Falla Solano Airport (SVI/SKSV), Colombia","2.11304",-74.77027,Canón del Paraiso (   Colombia),"1.20848",-77.27099
"Oulu Airport (OUL/EFOU), Finland","65.01035","25.47357","Helsinki-Vantaa Airport (HEL/EFHK), Finland","60.17116","24.93266",Oulu Airport (OUL) (   Finland),"65.01035","25.47357"
"Warszawa-Okecie Airport (WAW/EPWA), Poland","52.18262","20.94949","Kraków Airport (KRK/EPKK), Poland","50.06045","19.93243",near Zawoja (   Poland),"49.65638","19.55285"
"Lukla Airport (LUA/VNLK), Nepal","27.6886","86.73134","Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal","27.6893","85.22426",Lukla Airport (LUA) (   Nepal),"27.6886","86.73134"
